Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2018-03-23,Fantastic Beasts and Where to Find Them,2016,https://letterboxd.com/forrestdiamond/film/fantastic-beasts-and-where-to-find-them/,2,,"fantasy, harry-potter",2017-09-15
2018-03-23,Popstar: Never Stop Never Stopping,2016,https://letterboxd.com/forrestdiamond/film/popstar-never-stop-never-stopping/,4,,comedy,2017-09-19
2018-03-23,The Legend of Tarzan,2016,https://letterboxd.com/forrestdiamond/film/the-legend-of-tarzan/,2,,remake,2017-09-19
2018-03-23,Wild Wild West,1999,https://letterboxd.com/forrestdiamond/film/wild-wild-west/,1,,,2017-09-29
2018-03-23,Atomic Blonde,2017,https://letterboxd.com/forrestdiamond/film/atomic-blonde/,3,,action,2017-10-24
2018-03-23,Wonder Woman,2017,https://letterboxd.com/forrestdiamond/film/wonder-woman-2017/,2,,"mcu, superhero",2017-10-28
2018-03-23,Geostorm,2017,https://letterboxd.com/forrestdiamond/film/geostorm/,2,,"action, distaster",2017-12-24
2018-03-23,What We Do in the Shadows,2014,https://letterboxd.com/forrestdiamond/film/what-we-do-in-the-shadows/,4,,"taika-watiti, comedy, vampires",2017-12-25
2018-03-23,Bright,2017,https://letterboxd.com/forrestdiamond/film/bright/,2,,"action, fantasy",2017-12-26
2018-03-23,Tinker Tailor Soldier Spy,2011,https://letterboxd.com/forrestdiamond/film/tinker-tailor-soldier-spy/,3,,"mystery, spy, oscar-nom",2017-12-26
2018-03-23,Rogue One: A Star Wars Story,2016,https://letterboxd.com/forrestdiamond/film/rogue-one-a-star-wars-story/,3,,"science-fiction, star-wars",2017-12-26
2018-03-23,The Foreigner,2017,https://letterboxd.com/forrestdiamond/film/the-foreigner-2017/,3,,"jackie-chan, kung-fu, action",2017-12-27
2018-03-23,"Lock, Stock and Two Smoking Barrels",1998,https://letterboxd.com/forrestdiamond/film/lock-stock-and-two-smoking-barrels/,3,,"heist, action",2018-02-16
2018-03-23,Justice League,2017,https://letterboxd.com/forrestdiamond/film/justice-league/,2,,"dccu, superhero",2018-02-17
2018-03-23,Boy,2010,https://letterboxd.com/forrestdiamond/film/boy-2010/,4,,"taika-watiti, coming-of-age",2018-02-18
2018-03-23,Drive,2011,https://letterboxd.com/forrestdiamond/film/drive-2011/,3,,thriller,2018-02-19
2018-03-23,Enter the Dragon,1973,https://letterboxd.com/forrestdiamond/film/enter-the-dragon/,2,,"kung-fu, bruce-lee",2018-02-20
2018-03-23,Kill the Messenger,2014,https://letterboxd.com/forrestdiamond/film/kill-the-messenger/,4,,documentary-ish,2018-02-21
2018-03-23,Mr. Majestyk,1974,https://letterboxd.com/forrestdiamond/film/mr-majestyk/,3,,action,2018-02-22
2018-03-23,Layer Cake,2004,https://letterboxd.com/forrestdiamond/film/layer-cake/,4,,action,2018-02-22
2018-03-23,Mute,2018,https://letterboxd.com/forrestdiamond/film/mute-2018/,3,,science-fiction,2018-02-23
2018-03-23,Out of Sight,1998,https://letterboxd.com/forrestdiamond/film/out-of-sight/,5,,"romance, heist, hot",2018-02-24
2018-03-23,Cleopatra Jones,1973,https://letterboxd.com/forrestdiamond/film/cleopatra-jones/,2,,,2018-02-25
2018-03-23,Hard Target,1993,https://letterboxd.com/forrestdiamond/film/hard-target/,2,,action,2018-02-26
2018-03-23,The Shape of Water,2017,https://letterboxd.com/forrestdiamond/film/the-shape-of-water/,4,,"magical-realism, oscar-nom",2018-03-04
2018-03-23,The Long Kiss Goodnight,1996,https://letterboxd.com/forrestdiamond/film/the-long-kiss-goodnight/,4,,action,2018-03-12
2018-03-23,Cobra,1986,https://letterboxd.com/forrestdiamond/film/cobra-1986/,2,,"action, stallone, 80's",2018-03-18
2018-03-23,Blade Runner 2049,2017,https://letterboxd.com/forrestdiamond/film/blade-runner-2049/,3,,"oscar-nom, science-fiction, sequel",2018-03-18
2018-03-23,"Three Billboards Outside Ebbing, Missouri",2017,https://letterboxd.com/forrestdiamond/film/three-billboards-outside-ebbing-missouri/,4,,"oscar-nom, drama",2018-03-19
2018-03-23,Cold in July,2014,https://letterboxd.com/forrestdiamond/film/cold-in-july/,5,,thriller,2018-03-20
2018-03-23,Spider-Man: Homecoming,2017,https://letterboxd.com/forrestdiamond/film/spider-man-homecoming/,4,,"superhero, mcu",2018-03-21
2018-03-23,"I, Tonya",2017,https://letterboxd.com/forrestdiamond/film/i-tonya/,3.5,,"documentary-ish, black-comedy, margot-robbie, sebastian-stan",2018-03-22
2018-04-08,Four Lions,2010,https://letterboxd.com/forrestdiamond/film/four-lions/,4,,black-comedy,2018-03-27
2018-04-08,Black Panther,2018,https://letterboxd.com/forrestdiamond/film/black-panther-2018/,3.5,,mcu,2018-04-06
2018-04-11,Ready Player One,2018,https://letterboxd.com/forrestdiamond/film/ready-player-one/,1.5,,"spielberg, science-fiction",2018-04-08
2018-04-16,Isle of Dogs,2018,https://letterboxd.com/forrestdiamond/film/isle-of-dogs-2018/,4,,"stopmotion, wes-anderson",2018-04-14
2018-04-18,Annihilation,2018,https://letterboxd.com/forrestdiamond/film/annihilation/,3.5,,science-fiction,2018-04-17
2018-04-22,A Quiet Place,2018,https://letterboxd.com/forrestdiamond/film/a-quiet-place-2018/,4,,thriller,2018-04-21
2018-04-24,You Were Never Really Here,2017,https://letterboxd.com/forrestdiamond/film/you-were-never-really-here/,4.5,,"damaged-goods, rescued-the-wrong-person",2018-04-22
2018-04-29,Thor: Ragnarok,2017,https://letterboxd.com/forrestdiamond/film/thor-ragnarok/,3.5,Yes,mcu,2018-04-27
2018-04-30,Adventureland,2009,https://letterboxd.com/forrestdiamond/film/adventureland/,2.5,,,2018-04-27
2018-04-30,Avengers: Infinity War,2018,https://letterboxd.com/forrestdiamond/film/avengers-infinity-war/,2,,,2018-04-29
2018-06-02,Deadpool 2,2018,https://letterboxd.com/forrestdiamond/film/deadpool-2/,3.5,,,2018-05-19
2018-06-02,Magic Mike XXL,2015,https://letterboxd.com/forrestdiamond/film/magic-mike-xxl/,3,,,2018-05-26
2018-06-02,Deadpool,2016,https://letterboxd.com/forrestdiamond/film/deadpool/1/,3.5,Yes,,2018-05-29
2018-06-02,Star Wars: The Force Awakens,2015,https://letterboxd.com/forrestdiamond/film/star-wars-the-force-awakens/2/,3.5,Yes,,2018-05-29
2018-06-02,Solo: A Star Wars Story,2018,https://letterboxd.com/forrestdiamond/film/solo-a-star-wars-story/,4,,,2018-05-31
2018-06-05,Upgrade,2018,https://letterboxd.com/forrestdiamond/film/upgrade/,4,,"action, ai",2018-06-02
2018-06-12,Ocean's Eight,2018,https://letterboxd.com/forrestdiamond/film/oceans-eight/,3,,,2018-06-08
2018-06-12,American Animals,2018,https://letterboxd.com/forrestdiamond/film/american-animals/,3,,,2018-06-09
2018-06-12,Hotel Artemis,2018,https://letterboxd.com/forrestdiamond/film/hotel-artemis/,3,,,2018-06-10
2018-06-25,Tag,2018,https://letterboxd.com/forrestdiamond/film/tag-2018/,3.5,,,2018-06-23
2018-06-25,Incredibles 2,2018,https://letterboxd.com/forrestdiamond/film/incredibles-2/,3.5,,,2018-06-24
2018-07-11,Jurassic World: Fallen Kingdom,2018,https://letterboxd.com/forrestdiamond/film/jurassic-world-fallen-kingdom/,2,,,2018-07-09
2018-07-14,Sicario: Day of the Soldado,2018,https://letterboxd.com/forrestdiamond/film/sicario-day-of-the-soldado/,2,,,2018-07-13
2018-07-16,Mission: Impossible,1996,https://letterboxd.com/forrestdiamond/film/mission-impossible/,3,,,2018-07-15
2018-07-18,Tomb Raider,2018,https://letterboxd.com/forrestdiamond/film/tomb-raider/,3,,,2018-07-16
2018-07-30,Equilibrium,2002,https://letterboxd.com/forrestdiamond/film/equilibrium/,1,,,2018-07-29
2018-07-30,Red Sparrow,2018,https://letterboxd.com/forrestdiamond/film/red-sparrow/,3,,,2018-07-30
2018-08-02,Tell No One,2006,https://letterboxd.com/forrestdiamond/film/tell-no-one/,4,,,2018-08-01
2018-08-07,Rampage,2018,https://letterboxd.com/forrestdiamond/film/rampage-2018/,3,,,2018-08-05
2018-08-07,Game Night,2018,https://letterboxd.com/forrestdiamond/film/game-night/,3,,,2018-08-05
2018-08-08,Mission: Impossible - Fallout,2018,https://letterboxd.com/forrestdiamond/film/mission-impossible-fallout/,3,,,2018-08-06
2018-08-08,Triple 9,2016,https://letterboxd.com/forrestdiamond/film/triple-9/1/,3,Yes,,2018-08-07
2018-08-12,Skyscraper,2018,https://letterboxd.com/forrestdiamond/film/skyscraper-2018/,3,,,2018-08-11
2018-08-15,The Hurricane Heist,2018,https://letterboxd.com/forrestdiamond/film/the-hurricane-heist/,2,,,2018-08-14
2018-08-17,Den of Thieves,2018,https://letterboxd.com/forrestdiamond/film/den-of-thieves/,2,,,2018-08-16
2018-08-19,The Hitman's Bodyguard,2017,https://letterboxd.com/forrestdiamond/film/the-hitmans-bodyguard/,4,,,2018-08-18
2018-08-21,The Death of Stalin,2017,https://letterboxd.com/forrestdiamond/film/the-death-of-stalin/,4,,,2018-08-19
2018-08-23,Wind River,2017,https://letterboxd.com/forrestdiamond/film/wind-river-2017/,4,,,2018-08-22
2018-08-25,Chinatown,1974,https://letterboxd.com/forrestdiamond/film/chinatown/,4,,,2018-08-24
2018-08-29,The Terminator,1984,https://letterboxd.com/forrestdiamond/film/the-terminator/,4,,,2018-08-26
2018-08-29,Papillon,2017,https://letterboxd.com/forrestdiamond/film/papillon-2017/,2,,,2018-08-28
2018-09-05,Deadpool 2,2018,https://letterboxd.com/forrestdiamond/film/deadpool-2/1/,3,Yes,,2018-09-03
2018-09-17,Tampopo,1985,https://letterboxd.com/forrestdiamond/film/tampopo/,3,,,2018-09-17
2018-09-24,Spectre,2015,https://letterboxd.com/forrestdiamond/film/spectre-2015/,3,,,2018-09-22
2018-09-24,Inside Man,2006,https://letterboxd.com/forrestdiamond/film/inside-man/,4,,,2018-09-23
2018-09-27,My Neighbor Totoro,1988,https://letterboxd.com/forrestdiamond/film/my-neighbor-totoro/,4,,,2018-09-26
2018-09-28,Live by Night,2016,https://letterboxd.com/forrestdiamond/film/live-by-night/,3,,,2018-09-27
2018-10-01,Blade of the Immortal,2017,https://letterboxd.com/forrestdiamond/film/blade-of-the-immortal/,2,,,2018-09-30
2018-10-17,Public Enemies,2009,https://letterboxd.com/forrestdiamond/film/public-enemies-2009/,2,,,2018-10-15
2018-10-25,Coco,2017,https://letterboxd.com/forrestdiamond/film/coco-2017/,4,,,2018-10-20
2018-10-25,Collateral,2004,https://letterboxd.com/forrestdiamond/film/collateral/,4,,,2018-10-24
2018-10-26,In Order of Disappearance,2014,https://letterboxd.com/forrestdiamond/film/in-order-of-disappearance/,4,,,2018-10-25
2018-10-31,The Last Airbender,2010,https://letterboxd.com/forrestdiamond/film/the-last-airbender/,2,,,2018-10-30
