Date,Name,Year,Letterboxd URI,Rating
2019-05-29,A History of Violence,2005,https://boxd.it/2bfa,4
2019-06-03,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,4
2019-06-07,"Extremely Wicked, Shockingly Evil and Vile",2019,https://boxd.it/glCG,3
2019-06-08,Con Air,1997,https://boxd.it/28gO,2
2019-06-09,I Am Mother,2019,https://boxd.it/ihNE,3
2019-06-13,Pokémon Detective Pikachu,2019,https://boxd.it/fVA0,3.5
2019-06-14,"Monsters, Inc.",2001,https://boxd.it/2a46,4
2019-06-15,Predestination,2014,https://boxd.it/6bJM,4
2019-06-17,Déjà Vu,2006,https://boxd.it/20PQ,3
2019-06-17,2036: Nexus Dawn,2017,https://boxd.it/gXZo,3
2019-06-17,2048: Nowhere to Run,2017,https://boxd.it/h4uC,2
2019-06-17,Blade Runner: Black Out 2022,2017,https://boxd.it/h5sM,4
2019-06-18,"Hail, Caesar!",2016,https://boxd.it/881G,2
2019-06-22,Crimson Tide,1995,https://boxd.it/1ZuM,3.5
2019-06-30,Idiocracy,2006,https://boxd.it/20RW,2.5
2019-06-30,Last Action Hero,1993,https://boxd.it/1YhW,4
2019-07-01,Burn After Reading,2008,https://boxd.it/23BW,5
2019-07-01,Get Out,2017,https://boxd.it/eOCm,4.5
2019-07-02,No Country for Old Men,2007,https://boxd.it/21ew,5
2019-07-08,Ice Age,2002,https://boxd.it/2apS,1.5
2019-07-09,Alita: Battle Angel,2019,https://boxd.it/e0rS,2
2019-07-09,Captain America: The First Avenger,2011,https://boxd.it/28b0,2.5
2019-07-09,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,2.5
2019-07-10,The Fast and the Furious,2001,https://boxd.it/1XMu,3
2019-07-13,The Lobster,2015,https://boxd.it/7tnw,4
2019-07-14,Under the Silver Lake,2018,https://boxd.it/dSAs,2.5
2019-07-15,Aliens,1986,https://boxd.it/29PA,3.5
2019-07-15,The Crow,1994,https://boxd.it/1Yxq,3.5
2019-07-16,2 Fast 2 Furious,2003,https://boxd.it/2a4g,4
2019-07-17,Batman Begins,2005,https://boxd.it/2aIg,3
2019-07-22,John Carter,2012,https://boxd.it/FQ2,1.5
2019-07-22,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO,4
2019-07-22,The Hangover,2009,https://boxd.it/1GjK,3.5
2019-07-30,Billy Elliot,2000,https://boxd.it/2bdy,4
2019-08-01,Pocahontas,1995,https://boxd.it/1W2g,2.5
2019-08-10,Shazam!,2019,https://boxd.it/8WBu,1.5
2019-08-10,The Dark Knight,2008,https://boxd.it/2b0k,3.5
2019-08-11,The Pink Panther,2006,https://boxd.it/1Sys,1.5
2019-08-12,Inglourious Basterds,2009,https://boxd.it/1JzG,3.5
2019-08-13,Robin Hood,2010,https://boxd.it/1D6o,2
2019-08-14,The Fast and the Furious: Tokyo Drift,2006,https://boxd.it/1Yeo,3.5
2019-08-15,Mission: Impossible - Rogue Nation,2015,https://boxd.it/5rI4,4.5
2019-08-15,Morgan,2016,https://boxd.it/d6Yw,2
2019-08-15,Horrible Bosses,2011,https://boxd.it/Ba2,4
2019-08-15,RED,2010,https://boxd.it/13uu,2
2019-08-21,Us,2019,https://boxd.it/gnV6,3.5
2019-08-21,Dazed and Confused,1993,https://boxd.it/1Ylk,2.5
2019-08-29,Paris Is Burning,1990,https://boxd.it/1jzg,5
2019-09-02,The Wandering Earth,2019,https://boxd.it/jtJc,2
2019-09-02,Ralph Breaks the Internet,2018,https://boxd.it/edAy,2
2019-09-04,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,4
2019-09-04,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,3
2019-09-07,Travis Scott: Look Mom I Can Fly,2019,https://boxd.it/na98,2
2019-09-21,Unicorn Store,2017,https://boxd.it/f05u,2
2019-09-27,Her,2013,https://boxd.it/4O24,3.5
2019-09-29,John Wick: Chapter 3 - Parabellum,2019,https://boxd.it/gmFw,3.5
2019-09-29,Dark Phoenix,2019,https://boxd.it/anyO,1.5
2019-09-29,Polar,2019,https://boxd.it/hoZg,1
2019-09-30,The Night Comes for Us,2018,https://boxd.it/g2lc,3.5
2019-10-01,Ad Astra,2019,https://boxd.it/ePzI,4.5
