Date,Name,Year,Letterboxd URI
2019-07-09,Die Hard,1988,https://letterboxd.com/film/die-hard/
2019-07-09,Whisper of the Heart,1995,https://letterboxd.com/film/whisper-of-the-heart/
2019-07-09,Spirited Away,2001,https://letterboxd.com/film/spirited-away/
2019-07-09,Princess Mononoke,1997,https://letterboxd.com/film/princess-mononoke/
2019-07-09,Howl's Moving Castle,2004,https://letterboxd.com/film/howls-moving-castle/
2019-07-09,Grave of the Fireflies,1988,https://letterboxd.com/film/grave-of-the-fireflies/
2019-07-09,Kiki's Delivery Service,1989,https://letterboxd.com/film/kikis-delivery-service/
2019-07-09,Ponyo,2008,https://letterboxd.com/film/ponyo/
2019-07-09,The Wind Rises,2013,https://letterboxd.com/film/the-wind-rises/
2019-07-13,Freaks,2018,https://letterboxd.com/film/freaks-2018/
2019-07-13,Paradise Hills,2019,https://letterboxd.com/film/paradise-hills/
2019-07-13,Sword of Trust,2019,https://letterboxd.com/film/sword-of-trust/
2019-07-13,Almost Famous,2000,https://letterboxd.com/film/almost-famous/
2019-07-13,Mike and Dave Need Wedding Dates,2016,https://letterboxd.com/film/mike-and-dave-need-wedding-dates/
2019-07-14,It Follows,2014,https://letterboxd.com/film/it-follows/
2019-07-18,Monos,2019,https://letterboxd.com/film/monos/
2019-07-18,Hustlers,2019,https://letterboxd.com/film/hustlers-2019/
2019-07-19,Top Gun: Maverick,2020,https://letterboxd.com/film/top-gun-maverick/
2019-07-19,Only the Brave,2017,https://letterboxd.com/film/only-the-brave-2017/
2019-07-22,Gates of Heaven,1978,https://letterboxd.com/film/gates-of-heaven/
2019-07-22,The Thin Blue Line,1988,https://letterboxd.com/film/the-thin-blue-line/
2019-07-22,The Fog of War,2003,https://letterboxd.com/film/the-fog-of-war/
2019-07-22,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",1999,https://letterboxd.com/film/mr-death-the-rise-and-fall-of-fred-a-leuchter-jr/
2019-07-22,Bitter Lake,2015,https://letterboxd.com/film/bitter-lake-2015/
2019-07-22,The Living Dead,1995,https://letterboxd.com/film/the-living-dead/
2019-07-22,The Century of the Self,2002,https://letterboxd.com/film/the-century-of-the-self/
2019-07-22,HyperNormalisation,2016,https://letterboxd.com/film/hypernormalisation/
2019-07-22,All Watched Over by Machines of Loving Grace,2011,https://letterboxd.com/film/all-watched-over-by-machines-of-loving-grace/
2019-07-24,Jojo Rabbit,2019,https://letterboxd.com/film/jojo-rabbit/
2019-07-24,First Love,2019,https://letterboxd.com/film/first-love-2019/
2019-07-25,Hobo with a Shotgun,2011,https://letterboxd.com/film/hobo-with-a-shotgun/
2019-07-26,Gemini Man,2019,https://letterboxd.com/film/gemini-man-2019/
2019-07-30,Sgt. Bilko,1996,https://letterboxd.com/film/sgt-bilko/
2019-07-30,"Planes, Trains and Automobiles",1987,https://letterboxd.com/film/planes-trains-and-automobiles/
2019-07-31,The Lighthouse,2019,https://letterboxd.com/film/the-lighthouse-2019/
2019-07-31,The Hunt,2020,https://letterboxd.com/film/the-hunt-2020/
2019-07-31,Until the End of the World,1991,https://letterboxd.com/film/until-the-end-of-the-world/
2019-07-31,"Paris, Texas",1984,https://letterboxd.com/film/paris-texas/
2019-07-31,Wings of Desire,1987,https://letterboxd.com/film/wings-of-desire/
2019-08-03,Donnie Brasco,1997,https://letterboxd.com/film/donnie-brasco/
2019-08-06,The Wind That Shakes the Barley,2006,https://letterboxd.com/film/the-wind-that-shakes-the-barley/
2019-08-06,Harlan County U.S.A.,1976,https://letterboxd.com/film/harlan-county-usa/
2019-08-07,The Third Man,1949,https://letterboxd.com/film/the-third-man/
2019-08-09,Honey Boy,2019,https://letterboxd.com/film/honey-boy/
2019-08-10,Running with the Devil,2019,https://letterboxd.com/film/running-with-the-devil/
2019-08-10,Low Tide,2019,https://letterboxd.com/film/low-tide-2019/
2019-08-13,Dolemite Is My Name,2019,https://letterboxd.com/film/dolemite-is-my-name/
2019-08-14,A Hidden Life,2019,https://letterboxd.com/film/a-hidden-life-2019/
2019-08-14,Fast & Furious,2009,https://letterboxd.com/film/fast-furious/
2019-08-15,The Way of the Gun,2000,https://letterboxd.com/film/the-way-of-the-gun/
2019-08-15,The Usual Suspects,1995,https://letterboxd.com/film/the-usual-suspects/
2019-08-15,Valkyrie,2008,https://letterboxd.com/film/valkyrie/
2019-08-15,Moonrise Kingdom,2012,https://letterboxd.com/film/moonrise-kingdom/
2019-08-15,Pulp Fiction,1994,https://letterboxd.com/film/pulp-fiction/
2019-08-15,Looper,2012,https://letterboxd.com/film/looper/
2019-08-15,Twelve Monkeys,1995,https://letterboxd.com/film/twelve-monkeys/
2019-08-16,The Death of Dick Long,2019,https://letterboxd.com/film/the-death-of-dick-long/
2019-08-21,The Babadook,2014,https://letterboxd.com/film/the-babadook/
2019-08-21,Antlers,2020,https://letterboxd.com/film/antlers/
2019-08-21,Marriage Story,2019,https://letterboxd.com/film/marriage-story-2019/
2019-08-22,The Day Shall Come,2019,https://letterboxd.com/film/the-day-shall-come/
2019-08-23,American Factory,2019,https://letterboxd.com/film/american-factory/
2019-08-31,Ms. Purple,2019,https://letterboxd.com/film/ms-purple/
2019-09-04,Between Two Ferns: The Movie,2019,https://letterboxd.com/film/between-two-ferns-the-movie/
2019-09-10,Portrait of a Lady on Fire,2019,https://letterboxd.com/film/portrait-of-a-lady-on-fire/
